timestamp,latitude,longitude,rainfall_mm,forecast_hours,source,is_forecast,ward_id,data_source_type
2026-08-09T17:22:35.250415+00:00,19.02,72.84,1.41,0,synthetic_sensor,False,1,SYNTHETIC_DEMO_DATA
2026-08-10T17:22:35.250415+00:00,19.02,72.84,1.6,24,synthetic_imd_forecast,True,1,SYNTHETIC_DEMO_DATA
2026-08-11T17:22:35.250415+00:00,19.02,72.84,1.51,48,synthetic_imd_forecast,True,1,SYNTHETIC_DEMO_DATA
2026-08-12T17:22:35.250415+00:00,19.02,72.84,1.45,72,synthetic_imd_forecast,True,1,SYNTHETIC_DEMO_DATA
2026-08-09T17:22:35.250415+00:00,19.07,72.88,0.51,0,synthetic_sensor,False,2,SYNTHETIC_DEMO_DATA
2026-08-10T17:22:35.250415+00:00,19.07,72.88,0.46,24,synthetic_imd_forecast,True,2,SYNTHETIC_DEMO_DATA
2026-08-11T17:22:35.250415+00:00,19.07,72.88,0.44,48,synthetic_imd_forecast,True,2,SYNTHETIC_DEMO_DATA
2026-08-12T17:22:35.250415+00:00,19.07,72.88,0.57,72,synthetic_imd_forecast,True,2,SYNTHETIC_DEMO_DATA
2026-08-09T17:22:35.250415+00:00,19.125,72.855,2.76,0,synthetic_sensor,False,3,SYNTHETIC_DEMO_DATA
2026-08-10T17:22:35.250415+00:00,19.125,72.855,2.93,24,synthetic_imd_forecast,True,3,SYNTHETIC_DEMO_DATA
2026-08-11T17:22:35.250415+00:00,19.125,72.855,2.36,48,synthetic_imd_forecast,True,3,SYNTHETIC_DEMO_DATA
2026-08-12T17:22:35.250415+00:00,19.125,72.855,3.15,72,synthetic_imd_forecast,True,3,SYNTHETIC_DEMO_DATA
2026-08-09T17:22:35.250415+00:00,19.04,72.86,5.36,0,synthetic_sensor,False,4,SYNTHETIC_DEMO_DATA
2026-08-10T17:22:35.250415+00:00,19.04,72.86,4.9,24,synthetic_imd_forecast,True,4,SYNTHETIC_DEMO_DATA
2026-08-11T17:22:35.250415+00:00,19.04,72.86,4.85,48,synthetic_imd_forecast,True,4,SYNTHETIC_DEMO_DATA
2026-08-12T17:22:35.250415+00:00,19.04,72.86,4.85,72,synthetic_imd_forecast,True,4,SYNTHETIC_DEMO_DATA
2026-08-09T18:22:35.250415+00:00,19.02,72.84,1.09,0,synthetic_sensor,False,1,SYNTHETIC_DEMO_DATA
2026-08-10T18:22:35.250415+00:00,19.02,72.84,1.1,24,synthetic_imd_forecast,True,1,SYNTHETIC_DEMO_DATA
2026-08-11T18:22:35.250415+00:00,19.02,72.84,1.07,48,synthetic_imd_forecast,True,1,SYNTHETIC_DEMO_DATA
